,precision,recall,f1-score,support
0,0.8457807953443259,0.889795918367347,0.8672302337145699,980.0
1,0.6680825242718447,0.9700440528634361,0.7912324829320877,1135.0
2,0.8614457831325302,0.6928294573643411,0.7679914070891515,1032.0
3,0.5350609756097561,0.695049504950495,0.6046511627906976,1010.0
4,0.4330011074197121,0.3981670061099796,0.41485411140583556,982.0
5,0.0,0.0,0.0,892.0
6,0.8480446927374302,0.7922755741127349,0.8192120885051268,958.0
7,0.36061381074168797,0.8229571984435797,0.5014819205690575,1028.0
8,0.548792270531401,0.5831622176591376,0.565455450472872,974.0
9,0.0,0.0,0.0,1009.0
accuracy,0.5954,0.5954,0.5954,0.5954
macro avg,0.5100821959788687,0.5844280929871051,0.5332108857479398,10000.0
weighted avg,0.5159431050113263,0.5954,0.5409668244996817,10000.0
