,precision,recall,f1-score,support
0,0.9788306451612904,0.9908163265306122,0.9847870182555781,980.0
1,0.9607843137254902,0.9929515418502203,0.9766031195840554,1135.0
2,0.9715686274509804,0.9602713178294574,0.9658869395711501,1032.0
3,0.9498495486459378,0.9376237623762376,0.9436970602889886,1010.0
4,0.9814410480349345,0.9154786150712831,0.9473129610115911,982.0
5,0.9580498866213152,0.9473094170403588,0.9526493799323562,892.0
6,0.9642857142857143,0.9864300626304802,0.9752321981424149,958.0
7,0.9605911330049262,0.9484435797665369,0.9544787077826725,1028.0
8,0.9549266247379455,0.9353182751540041,0.9450207468879668,974.0
9,0.892623716153128,0.9474727452923687,0.9192307692307692,1009.0
accuracy,0.9567,0.9567,0.9567,0.9567
macro avg,0.9572951257821662,0.956211564354156,0.9564898900687542,10000.0
weighted avg,0.9572135965142866,0.9567,0.9566920356804465,10000.0
