,precision,recall,f1-score,support
0,0.970970970970971,0.9897959183673469,0.9802930773117736,980.0
1,0.9903169014084507,0.9911894273127754,0.9907529722589168,1135.0
2,0.9624639076034649,0.9689922480620154,0.9657170449058425,1032.0
3,0.9594059405940594,0.9594059405940594,0.9594059405940594,1010.0
4,0.9765066394279878,0.9735234215885947,0.9750127485976543,982.0
5,0.9739524348810872,0.9641255605381166,0.9690140845070423,892.0
6,0.978125,0.9801670146137788,0.9791449426485923,958.0
7,0.9717073170731707,0.9688715953307393,0.9702873843156357,1028.0
8,0.9617373319544984,0.9548254620123203,0.9582689335394127,974.0
9,0.9600798403193613,0.9534192269573836,0.956737941322725,1009.0
accuracy,0.9707,0.9707,0.9707,0.9707
macro avg,0.9705266284233052,0.9704315815377129,0.9704635070001654,10000.0
weighted avg,0.9706930671286269,0.9707,0.9706813722321258,10000.0
